Player,Pos,Team,AgeAt Signing,StartYear,EndYear,Yrs,Value,AverageSalary
Christian Darrisaw,LT,MIN,25,2024,2029,4,113000000.00,28250000.00
Penei Sewell,RT,DET,23,2024,2029,4,112000000.00,28000000.00
Laremy Tunsil,LT,HOU,28,2023,2026,3,75000000.00,25000000.00
Andrew Thomas,LT,NYG,24,2023,2029,5,117500000.00,23500000.00
Trent Williams,LT,SF ,32,2021,2026,6,138060000.00,23010000.00
Jordan Mailata,LT,PHI,27,2024,2028,3,66000000.00,22000000.00
Landon Dickerson,G,PHI,25,2024,2028,4,84000000.00,21000000.00
Chris Lindstrom,G,ATL,26,2023,2028,5,102500000.00,20500000.00
Lane Johnson,RT,PHI,32,2023,2026,4,80750000.00,20187500.00
Dion Dawkins,LT,BUF,29,2024,2027,3,60060000.00,20020000.00
Robert Hunt,G,CAR,27,2024,2028,5,100000000.00,20000000.00
Quenton Nelson,G,IND,25,2022,2026,4,80000000.00,20000000.00
Jawaan Taylor,RT,KC ,25,2023,2026,4,80000000.00,20000000.00
Ryan Ramczyk,RT,NO ,26,2021,2026,5,96000000.00,19200000.00
Mike Onwenu,RT,NE ,26,2024,2026,3,57000000.00,19000000.00
Tytus Howard,RT,HOU,27,2023,2026,3,56000000.00,18666667.00
Brian O'Neill,RT,MIN,25,2021,2026,5,92500000.00,18500000.00
Zack Martin,G,DAL,32,2023,2024,2,36850000.00,18425000.00
Jake Matthews,LT,ATL,29,2022,2026,3,55000000.00,18333333.00
Quinn Meinerz,G,DEN,25,2024,2028,4,72000000.00,18000000.00
Cam Robinson,LT,JAX,26,2022,2024,3,54000000.00,18000000.00
Kolton Miller,LT,LV ,25,2021,2025,3,54000000.00,18000000.00
Taylor Moton,RT,CAR,26,2021,2025,4,71246000.00,17811500.00
Mike McGlinchey,RT,DEN,28,2023,2027,5,87500000.00,17500000.00
Braden Smith,RT,IND,24,2021,2025,4,70000000.00,17500000.00
Elgton Jenkins,G,GB ,26,2022,2026,4,68000000.00,17000000.00
Garett Bolles,LT,DEN,27,2020,2024,4,68000000.00,17000000.00
Jonah Jackson,G,LAR,27,2024,2026,3,51000000.00,17000000.00
Terence Steele,RT,DAL,26,2023,2028,5,82500000.00,16500000.00
Brandon Scherff,G,JAX,30,2022,2024,3,49500000.00,16500000.00
Orlando Brown Jr.,LT,CIN,26,2023,2026,4,64092000.00,16023000.00
Joe Thuney,G,KC ,28,2021,2025,5,80000000.00,16000000.00
Joel Bitonio,G,CLE,29,2021,2025,3,48000000.00,16000000.00
Kevin Dotson,G,LAR,27,2024,2026,3,48000000.00,16000000.00
Taylor Decker,LT,DET,26,2020,2024,4,60000000.00,15000000.00
Jack Conklin,RT,CLE,28,2022,2026,4,60000000.00,15000000.00
Jonah Williams,RT,ARI,26,2024,2025,2,30000000.00,15000000.00
Wyatt Teller,G,CLE,26,2021,2025,4,56800000.00,14200000.00
Frank Ragnow,C,DET,24,2021,2026,4,54000000.00,13500000.00
Joseph Noteboom,LT,LAR,26,2022,2024,3,40000000.00,13333333.00
Damien Lewis,G,CAR,26,2024,2027,4,53000000.00,13250000.00
Terron Armstead,LT,MIA,32,2024,2026,3,38630000.00,12876667.00
Ben Powers,G,DEN,26,2023,2026,4,51500000.00,12875000.00
Lloyd Cushenberry,C,TEN,26,2024,2027,4,50000000.00,12500000.00
Ryan Kelly,C,IND,26,2020,2024,4,50000000.00,12500000.00
Erik McCoy,C,NO ,24,2022,2027,5,60000000.00,12000000.00
Shaq Mason,G,HOU,29,2023,2026,3,36000000.00,12000000.00
Austin Jackson,RT,MIA,24,2023,2026,3,36000000.00,12000000.00
Rob Havenstein,RT,LAR,29,2022,2025,3,34500000.00,11500000.00
Kaleb McGary,RT,ATL,28,2023,2025,3,34500000.00,11500000.00
Cesar Ruiz,G,NO ,24,2023,2027,4,44000000.00,11000000.00
Nate Davis,G,CHI,26,2023,2025,3,30000000.00,10000000.00
Jon Runyan,G,NYG,26,2024,2026,3,30000000.00,10000000.00
Tyler Biadasz,C,WAS,26,2024,2026,3,29250000.00,9750000.00
James Daniels,G,PIT,24,2022,2024,3,26500000.00,8833333.00
Alex Cappa,G,CIN,26,2022,2025,4,35000000.00,8750000.00
Austin Corbett,C,CAR,26,2022,2024,3,26250000.00,8750000.00
Joe Alt,RT,LAC,21,2024,2028,4,33160944.00,8290236.00
Isaac Seumalo,G,PIT,29,2023,2025,3,24000000.00,8000000.00
Andre James,C,LV ,26,2024,2026,3,24000000.00,8000000.00
Ezra Cleveland,G,JAX,25,2024,2026,3,24000000.00,8000000.00
Andrew Wylie,RT,WAS,28,2023,2025,3,24000000.00,8000000.00
Ronnie Stanley,LT,BAL,29,2024,2024,1,7500000.00,7500000.00
Connor McGovern,C,BUF,25,2023,2025,3,22350000.00,7450000.00
Trey Pipkins,G,LAC,26,2023,2025,3,21750000.00,7250000.00
Connor Williams,C,MIA,24,2022,2023,2,14035000.00,7017500.00
Paris Johnson,LT,ARI,21,2023,2027,4,28052454.00,7013114.00
Aaron Brewer,C,MIA,26,2024,2026,3,21000000.00,7000000.00
Jermaine Eluemunor,G,NYG,29,2024,2025,2,14000000.00,7000000.00
Ikem Ekwonu,LT,CAR,21,2022,2026,4,27568052.00,6892013.00
Graham Glasgow,G,DET,31,2024,2026,3,20000000.00,6666667.00
JC Latham,LT,TEN,21,2024,2028,4,26045188.00,6511297.00
Tyron Smith,LT,NYJ,33,2024,2024,1,6500000.00,6500000.00
Evan Neal,RT,NYG,21,2022,2026,4,24551258.00,6137815.00
Ethan Pocic,C,CLE,27,2023,2025,3,18000000.00,6000000.00
John Simpson,G,NYJ,26,2024,2025,2,12000000.00,6000000.00
David Andrews,C,NE ,31,2024,2025,2,12000000.00,6000000.00
Kevin Zeitler,G,DET,34,2024,2024,1,6000000.00,6000000.00
Ted Karras,C,CIN,31,2024,2025,1,6000000.00,6000000.00
Charles Cross,LT,SEA,21,2022,2026,4,21383626.00,5345907.00
Nick Allegretti,G,WAS,27,2024,2026,3,16000000.00,5333333.00
Garrett Bradbury,C,MIN,27,2023,2025,3,15750000.00,5250000.00
Mitch Morse,C,JAX,31,2024,2025,2,10500000.00,5250000.00
Darnell Wright,RT,CHI,21,2023,2027,4,20968267.00,5242067.00
Patrick Mekari,LT,BAL,23,2021,2024,3,15450000.00,5150000.00
Olu Fashanu,LT,NYJ,21,2024,2028,4,20510710.00,5127678.00
Morgan Moses,RT,NYJ,30,2022,2024,3,15000000.00,5000000.00
Jedrick Wills,LT,CLE,20,2020,2024,4,19702914.00,4925729.00
Peter Skoronski,G,TEN,21,2023,2027,4,19673318.00,4918330.00
Alaric Jackson,LT,LAR,25,2024,2024,1,4890000.00,4890000.00
Trenton Brown,RT,CIN,30,2024,2024,1,4750000.00,4750000.00
George Fant,RT,SEA,31,2024,2025,2,9100000.00,4550000.00
Will Hernandez,G,ARI,27,2023,2024,2,9000000.00,4500000.00
Taliese Fuaga,LT,NO ,22,2024,2028,4,17348158.00,4337040.00
Ryan Bates,C,CHI,24,2022,2025,4,17000000.00,4250000.00
Rashawn Slater,LT,LAC,21,2021,2025,4,16631757.00,4157939.00
Broderick Jones,RT,PIT,22,2023,2027,4,16626352.00,4156588.00
Jake Brendel,C,SF ,30,2023,2026,4,16500000.00,4125000.00
Tristan Wirfs,LT,TB ,20,2020,2024,4,16228026.00,4057007.00
Yosh Nijman,RT,CAR,28,2024,2025,2,8000000.00,4000000.00
